MO_ID_use,MOAge,Z_MOAge,HholdIncome,IncomeLog,MU_InvestAny,Hhold_AnnMove,Z_AnnMove,MatRes,PatRes,OthRes,Boat_dum,MOSells_Occup,MOEdu_dum,MONum_Marriages,FatherPresent,MO_LostChild_dum,MO_NumCldLiv,Z_MO_NumCldLiv,MO_AgeFirstBirth,Z_MO_AgeFirstBirth,IBI_AfterFirst,Z_IBI_AfterFirst,MO_Firstborn_dum,MO_NumSibs,Z_MO_NumSibs,MO_NumSisters,Z_MO_NumSisters,MO_NumBro_Total,Z_MO_NumBro_Total,MO_Num_OlderBro,Z_MO_Num_OlderBro,MO_Num_YoungBro,Z_MO_Num_YoungBro,Num_Alloparents,Z_Num_Alloparents,MU_BirthOrder,AgeDiff_MOMU,MU_Direct,MU_Indirect_dum,MU_GiveFood_dum,MU_GiveClothes_dum,MU_GiveTreat_dum,MU_PayMg_dum,MU_Firstborn_dum,MU_Lastborn_dum,MU_Midborn_dum,MUMO_SameLocation_dum,MU_Boat,MU_Married,MU_HasChild_dum,MU_Older_dum
1,25,-1.219646925,422933,12.95496905,1,0,-0.680336351,0,1,0,0,0,0,1,1,1,3,-0.587490862,0,-4.819990945,2,-0.46942514,0,4,-0.990299957,2,-1.020405664,2,-0.575919752,2,0.511614409,0,-1.027406864,7,2.788812974,4,-2,1,0,0,0,0,0,0,0,1,0,0,1,1,0
2,15,-1.933885225,144000,11.87756858,0,0,-0.680336351,0,1,0,0,0,0,1,1,0,1,-1.564058787,13.5,-1.029094231,1.5,-0.563613547,0,11,1.504935003,6,1.295989676,5,1.12450154,2,0.511614409,3,0.763216527,0,-0.750963494,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,40,-0.148289476,416000,12.93844054,0,0,-0.680336351,0,0,1,0,1,0,1,1,1,4,-0.0992069,14,-0.888690649,2.021917808,-0.465296333,0,9,0.792010729,5,0.716890841,4,0.557694443,0,-0.988793234,4,1.360090991,0,-0.750963494,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,42,-0.005441816,43200,10.67359577,0,0,-0.680336351,0,1,0,0,1,0,2,1,1,3,-0.587490862,14,-0.888690649,1,-0.657801954,0,8,0.435548592,3,-0.441306829,5,1.12450154,5,2.762225874,0,-1.027406864,0,-0.750963494,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,18,-1.719613735,210000,12.25486281,1,0,-0.680336351,0,0,1,1,0,0,1,1,1,1,-1.564058787,14.417,-0.771594061,3.583,-0.171224644,1,4,-0.990299957,2,-1.020405664,2,-0.575919752,0,-0.988793234,2,0.166342064,0,-0.750963494,2,2,0,1,1,1,0,0,0,0,1,1,0,0,0,1
6,25,-1.219646925,18000,9.798127037,0,2,1.000494634,1,1,0,1,0,0,1,1,0,3,-0.587490862,15,-0.607883484,3,-0.281048326,0,5,-0.633837819,3,-0.441306829,2,-0.575919752,1,-0.238589412,1,-0.4305324,2,0.260401211,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,45,0.208829674,204000,12.22587527,1,0,-0.680336351,0,0,1,1,0,0,1,1,1,9,2.342212911,15,-0.607883484,5,0.095705302,1,8,0.435548592,3,-0.441306829,5,1.12450154,0,-0.988793234,5,1.956965455,2,0.260401211,3,4,0,1,0,0,0,1,0,0,1,0,NA,NA,NA,1
8,45,0.208829674,42120,10.64827797,0,0,-0.680336351,0,0,1,1,1,0,2,1,1,4,-0.0992069,15,-0.607883484,5,0.095705302,0,7,0.079086455,4,0.137792006,3,-0.009112654,2,0.511614409,1,-0.4305324,0,-0.750963494,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,18,-1.719613735,92000,11.42954386,1,0,-0.680336351,1,0,0,1,1,0,1,1,0,1,-1.564058787,15,-0.607883484,3,-0.281048326,0,6,-0.277375682,2,-1.020405664,4,0.557694443,4,2.012022052,0,-1.027406864,1,-0.245281141,3,-8,1,1,0,0,1,0,0,0,1,0,0,1,1,0
10,65,1.637306274,0,0,0,0,-0.680336351,1,0,0,0,0,0,1,0,0,4,-0.0992069,15,-0.607883484,14.25,1.838190832,0,5,-0.633837819,1,-1.599504499,4,0.557694443,3,1.261818231,1,-0.4305324,1,-0.245281141,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,50,0.565948824,52000,10.858999,0,0,-0.680336351,1,0,0,0,1,0,1,1,1,6,0.877361024,15,-0.607883484,1.980821918,-0.473037846,1,10,1.148472866,6,1.295989676,4,0.557694443,0,-0.988793234,4,1.360090991,0,-0.750963494,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,40,-0.148289476,299000,12.60819885,0,0,-0.680336351,0,0,1,0,1,0,1,1,1,6,0.877361024,15,-0.607883484,2,-0.46942514,0,8,0.435548592,6,1.295989676,2,-0.575919752,2,0.511614409,0,-1.027406864,0,-0.750963494,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,27,-1.076799265,208000,12.24529336,0,2,1.000494634,0,1,0,0,1,0,1,1,0,3,-0.587490862,15,-0.607883484,5,0.095705302,0,7,0.079086455,5,0.716890841,2,-0.575919752,1,-0.238589412,1,-0.4305324,1,-0.245281141,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,22,-1.433918415,42000,10.6454249,0,2,1.000494634,0,1,0,1,1,0,1,1,0,2,-1.075774825,15,-0.607883484,5,0.095705302,0,5,-0.633837819,3,-0.441306829,2,-0.575919752,1,-0.238589412,1,-0.4305324,0,-0.750963494,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,42,-0.005441816,130000,11.77528973,1,0,-0.680336351,0,1,0,1,0,0,2,1,1,4,-0.0992069,15,-0.607883484,2,-0.46942514,0,5,-0.633837819,4,0.137792006,1,-1.142726849,1,-0.238589412,0,-1.027406864,0,-0.750963494,3,-3,1,0,0,0,0,0,0,0,1,0,1,1,1,0
16,22,-1.433918415,182000,12.11176197,0,0,-0.680336351,0,1,0,1,0,0,1,1,0,3,-0.587490862,15,-0.607883484,2.5,-0.375236733,0,6,-0.277375682,5,0.716890841,1,-1.142726849,0,-0.988793234,1,-0.4305324,0,-0.750963494,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,40,-0.148289476,84933,11.34961799,0,2,1.000494634,0,0,1,1,0,0,1,1,1,3,-0.587490862,15,-0.607883484,7,0.47245893,0,7,0.079086455,4,0.137792006,3,-0.009112654,1,-0.238589412,2,0.166342064,0,-0.750963494,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,16,-1.862461395,192000,12.16525065,0,0,-0.680336351,1,1,0,1,0,0,1,1,0,1,-1.564058787,15.33333333,-0.514281097,0.666666667,-0.720594226,0,8,0.435548592,5,0.716890841,3,-0.009112654,3,1.261818231,0,-1.027406864,0,-0.750963494,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,30,-0.862527775,67600,11.12136326,1,3,1.840910127,1,0,0,1,0,0,1,1,1,3,-0.587490862,15.5,-0.467479902,1.5,-0.563613547,0,7,0.079086455,4,0.137792006,3,-0.009112654,0,-0.988793234,3,0.763216527,1,-0.245281141,4,4,0,1,0,0,1,0,0,0,1,1,1,1,1,1
20,30,-0.862527775,60000,11.00209984,1,0,-0.680336351,0,1,0,0,1,0,1,1,1,2,-1.075774825,15.95342466,-0.34015501,1.046575342,-0.64902824,1,4,-0.990299957,2,-1.020405664,2,-0.575919752,0,-0.988793234,2,0.166342064,0,-0.750963494,2,8,1,0,0,0,1,0,0,0,1,0,0,1,1,1
21,26,-1.148223095,171200,12.05058774,1,0,-0.680336351,1,0,0,1,0,0,1,1,1,2,-1.075774825,15.99178082,-0.329384325,1,-0.657801954,0,9,0.792010729,4,0.137792006,5,1.12450154,2,0.511614409,3,0.763216527,0,-0.750963494,6,3,1,0,0,0,0,0,0,0,1,1,0,0,0,1
22,32,-0.719680115,343200,12.74606865,0,2,1.000494634,0,1,0,1,0,0,1,1,0,3,-0.587490862,16,-0.32707632,6,0.284082116,0,5,-0.633837819,2,-1.020405664,3,-0.009112654,3,1.261818231,0,-1.027406864,1,-0.245281141,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,35,-0.505408625,129600,11.77220806,1,0,-0.680336351,0,0,1,1,1,0,1,1,0,3,-0.587490862,16,-0.32707632,10,1.037589373,0,10,1.148472866,6,1.295989676,4,0.557694443,1,-0.238589412,3,0.763216527,0,-0.750963494,5,3,1,0,0,0,0,0,0,0,1,0,0,1,1,1
24,22,-1.433918415,62400,11.04132055,0,1,0.160079141,1,0,0,1,1,0,1,0,0,1,-1.564058787,16,-0.32707632,6,0.284082116,0,7,0.079086455,5,0.716890841,2,-0.575919752,0,-0.988793234,2,0.166342064,4,1.271765917,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,30,-0.862527775,520000,13.16158409,1,2,1.000494634,0,1,0,0,1,0,1,1,0,2,-1.075774825,16,-0.32707632,10,1.037589373,0,6,-0.277375682,4,0.137792006,2,-0.575919752,1,-0.238589412,1,-0.4305324,2,0.260401211,1,-10,0,1,0,0,1,0,1,0,1,0,0,1,1,0
26,32,-0.719680115,72800,11.19547123,0,0,-0.680336351,0,1,0,0,1,0,1,1,0,4,-0.0992069,16,-0.32707632,6,0.284082116,0,4,-0.990299957,3,-0.441306829,1,-1.142726849,0,-0.988793234,1,-0.4305324,2,0.260401211,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,18,-1.719613735,208000,12.24529336,0,0,-0.680336351,0,1,0,1,0,0,1,1,0,2,-1.075774825,16,-0.32707632,1.833333333,-0.500821276,0,5,-0.633837819,3,-0.441306829,2,-0.575919752,1,-0.238589412,1,-0.4305324,1,-0.245281141,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,25,-1.219646925,226507,12.33053113,1,0,-0.680336351,0,0,1,1,1,0,1,1,0,2,-1.075774825,16,-0.32707632,4,-0.092671512,1,4,-0.990299957,3,-0.441306829,1,-1.142726849,0,-0.988793234,1,-0.4305324,0,-0.750963494,2,2,0,1,0,0,1,0,0,0,1,1,0,1,1,1
29,18,-1.719613735,31200,10.34817337,1,0,-0.680336351,0,1,0,1,0,1,1,1,0,1,-1.564058787,16.5,-0.186672738,1.5,-0.563613547,0,7,0.079086455,2,-1.020405664,5,1.12450154,3,1.261818231,2,0.166342064,1,-0.245281141,4,-2,1,0,0,0,0,0,0,0,1,0,0,1,1,0
30,18,-1.719613735,377000,12.84000047,0,0,-0.680336351,0,1,0,0,1,1,1,1,0,1,-1.564058787,16.5,-0.186672738,1.5,-0.563613547,0,6,-0.277375682,3,-0.441306829,3,-0.009112654,0,-0.988793234,3,0.763216527,2,0.260401211,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,28,-1.005375435,120000,11.69524702,0,0,-0.680336351,1,0,0,0,1,0,1,0,1,2,-1.075774825,16.99726027,-0.047038492,1.002739726,-0.657285854,0,5,-0.633837819,4,0.137792006,1,-1.142726849,1,-0.238589412,0,-1.027406864,0,-0.750963494,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,60,1.280187124,54720,10.90998455,0,0,-0.680336351,0,0,1,1,0,0,1,1,0,7,1.365644986,17,-0.046269156,2,-0.46942514,0,13,2.217859278,9,3.033286181,4,0.557694443,0,-0.988793234,4,1.360090991,4,1.271765917,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,52,0.708796484,104000,11.55214618,0,3,1.840910127,0,0,1,0,1,0,1,1,0,7,1.365644986,17,-0.046269156,7,0.47245893,0,9,0.792010729,7,1.875088511,2,-0.575919752,2,0.511614409,0,-1.027406864,1,-0.245281141,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,53,0.780220314,73320,11.2025887,0,0,-0.680336351,0,0,1,0,1,0,1,1,0,8,1.853928948,17,-0.046269156,4,-0.092671512,0,7,0.079086455,4,0.137792006,3,-0.009112654,1,-0.238589412,2,0.166342064,0,-0.750963494,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,24,-1.291070755,65000,11.08214255,0,0,-0.680336351,0,1,0,0,0,1,1,1,0,2,-1.075774825,17,-0.046269156,3.5,-0.186859919,0,5,-0.633837819,2,-1.020405664,3,-0.009112654,2,0.511614409,1,-0.4305324,1,-0.245281141,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,22,-1.433918415,104000,11.55214618,1,2,1.000494634,0,1,0,1,0,1,1,1,0,2,-1.075774825,17,-0.046269156,3,-0.281048326,0,6,-0.277375682,3,-0.441306829,3,-0.009112654,1,-0.238589412,2,0.166342064,1,-0.245281141,2,-3,0,1,0,0,1,0,0,0,1,0,0,1,1,0
37,44,0.137405844,39000,10.57131693,1,2,1.000494634,0,0,1,1,1,0,2,1,1,6,0.877361024,17,-0.046269156,2.166666667,-0.438029005,0,10,1.148472866,4,0.137792006,6,1.691308638,3,1.261818231,3,0.763216527,1,-0.245281141,2,-12,0,1,0,0,1,0,0,0,1,0,0,1,1,0
38,28,-1.005375435,240000,12.3883942,1,2,1.000494634,0,0,1,1,0,0,1,1,0,3,-0.587490862,17,-0.046269156,2,-0.46942514,0,9,0.792010729,5,0.716890841,4,0.557694443,4,2.012022052,0,-1.027406864,1,-0.245281141,6,-22,1,0,1,1,1,0,0,0,1,0,1,1,1,0
39,45,0.208829674,31200,10.34817337,1,2,1.000494634,0,0,1,1,0,0,1,1,1,6,0.877361024,17,-0.046269156,2.666666667,-0.343840597,0,9,0.792010729,6,1.295989676,3,-0.009112654,3,1.261818231,0,-1.027406864,1,-0.245281141,4,-10,1,0,0,0,0,0,0,0,1,0,0,1,1,0
40,21,-1.505342245,287600,12.5693259,1,0,-0.680336351,1,0,0,1,1,0,1,1,0,1,-1.564058787,18,0.234538008,3,-0.281048326,0,6,-0.277375682,3,-0.441306829,3,-0.009112654,2,0.511614409,1,-0.4305324,1,-0.245281141,2,-2,1,0,0,0,0,0,0,0,1,1,0,0,1,0
41,68,1.851577764,0,0,0,0,-0.680336351,0,0,1,0,0,0,1,1,1,6,0.877361024,18,0.234538008,4.75,0.048611098,0,8,0.435548592,5,0.716890841,3,-0.009112654,1,-0.238589412,2,0.166342064,2,0.260401211,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,30,-0.862527775,48000,10.77895629,0,0,-0.680336351,0,0,1,0,1,0,1,1,0,5,0.389077062,18,0.234538008,4,-0.092671512,0,7,0.079086455,4,0.137792006,3,-0.009112654,0,-0.988793234,3,0.763216527,1,-0.245281141,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,43,0.065982014,168000,12.03171926,0,0,-0.680336351,1,0,0,0,1,0,1,1,0,7,1.365644986,18,0.234538008,2,-0.46942514,0,10,1.148472866,6,1.295989676,4,0.557694443,0,-0.988793234,4,1.360090991,2,0.260401211,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,18,-1.719613735,144000,11.87756858,0,0,-0.680336351,0,0,1,0,0,1,1,1,0,1,-1.564058787,18,0.234538008,1.5,-0.563613547,0,5,-0.633837819,4,0.137792006,1,-1.142726849,1,-0.238589412,0,-1.027406864,1,-0.245281141,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,23,-1.362494585,45000,10.71441777,0,2,1.000494634,0,1,0,1,0,0,1,1,0,1,-1.564058787,18,0.234538008,5,0.095705302,0,8,0.435548592,4,0.137792006,4,0.557694443,2,0.511614409,2,0.166342064,0,-0.750963494,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,25,-1.219646925,190000,12.15477935,1,2,1.000494634,1,0,0,1,0,1,1,1,0,1,-1.564058787,18.5,0.37494159,6.5,0.378270523,0,6,-0.277375682,3,-0.441306829,3,-0.009112654,1,-0.238589412,2,0.166342064,0,-0.750963494,3,4,1,0,0,0,0,0,0,0,1,0,0,0,0,1
47,32,-0.719680115,322400,12.68354829,0,0,-0.680336351,0,0,1,0,1,0,1,1,0,2,-1.075774825,19,0.515345172,10,1.037589373,0,4,-0.990299957,3,-0.441306829,1,-1.142726849,0,-0.988793234,1,-0.4305324,1,-0.245281141,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,27,-1.076799265,109200,11.60093634,0,2,1.000494634,1,0,0,1,1,0,1,1,1,2,-1.075774825,19,0.515345172,0.666666667,-0.720594226,0,7,0.079086455,4,0.137792006,3,-0.009112654,2,0.511614409,1,-0.4305324,1,-0.245281141,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,36,-0.433984796,244400,12.40656151,0,0,-0.680336351,1,0,0,1,1,0,2,1,1,4,-0.0992069,19,0.515345172,3,-0.281048326,0,7,0.079086455,4,0.137792006,3,-0.009112654,2,0.511614409,1,-0.4305324,2,0.260401211,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,20,-1.576766075,34667,10.4535435,0,3,1.840910127,0,1,0,1,0,1,1,1,0,1,-1.564058787,19.333,0.608853957,0.667,-0.720531433,0,4,-0.990299957,3,-0.441306829,1,-1.142726849,1,-0.238589412,0,-1.027406864,0,-0.750963494,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,28,-1.005375435,124800,11.73446773,1,2,1.000494634,0,0,1,1,0,0,1,1,1,2,-1.075774825,20,0.796152336,1,-0.657801954,1,4,-0.990299957,3,-0.441306829,1,-1.142726849,0,-0.988793234,1,-0.4305324,1,-0.245281141,2,2,0,1,0,0,1,0,0,0,1,0,0,1,0,1
52,27,-1.076799265,104000,11.55214618,0,3,1.840910127,1,0,0,1,0,0,1,1,0,2,-1.075774825,20,0.796152336,4.5,0.001516895,1,5,-0.633837819,2,-1.020405664,3,-0.009112654,0,-0.988793234,3,0.763216527,0,-0.750963494,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,55,0.923067974,143000,11.87059991,0,3,1.840910127,1,0,0,1,0,0,1,1,0,6,0.877361024,20,0.796152336,1,-0.657801954,0,4,-0.990299957,3,-0.441306829,1,-1.142726849,0,-0.988793234,1,-0.4305324,0,-0.750963494,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,60,1.280187124,73000,11.19821472,1,0,-0.680336351,0,0,1,0,1,0,1,0,0,3,-0.587490862,20,0.796152336,34,5.558632911,0,8,0.435548592,4,0.137792006,4,0.557694443,4,2.012022052,0,-1.027406864,0,-0.750963494,1,-30,0,1,1,1,0,1,1,0,1,0,0,1,0,0
55,26,-1.148223095,152400,11.93426392,0,0,-0.680336351,0,1,0,1,1,0,2,1,1,1,-1.564058787,21,1.0769595,2.5,-0.375236733,0,12,1.861397141,7,1.875088511,5,1.12450154,3,1.261818231,2,0.166342064,1,-0.245281141,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,30,-0.862527775,104000,11.55214618,1,0,-0.680336351,1,1,0,1,0,0,1,1,0,3,-0.587490862,22,1.357766664,3,-0.281048326,1,9,0.792010729,6,1.295989676,3,-0.009112654,0,-0.988793234,3,0.763216527,0,-0.750963494,2,-8,1,0,0,0,0,0,0,0,1,1,1,0,0,0
57,40,-0.148289476,180000,12.10071213,1,2,1.000494634,1,0,0,1,0,0,2,1,0,5,0.389077062,22,1.357766664,3,-0.281048326,0,5,-0.633837819,2,-1.020405664,3,-0.009112654,3,1.261818231,0,-1.027406864,0,-0.750963494,1,-6,1,0,0,0,0,0,1,0,1,1,1,1,1,0
58,35,-0.505408625,54600,10.90778916,0,0,-0.680336351,1,0,0,0,0,0,1,1,1,1,-1.564058787,22,1.357766664,7,0.47245893,0,2,-1.703224231,0,-2.178603335,2,-0.575919752,1,-0.238589412,1,-0.4305324,1,-0.245281141,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,26,-1.148223095,36000,10.49127422,1,2,1.000494634,1,0,0,1,0,0,1,1,0,1,-1.564058787,24,1.919380992,2,-0.46942514,0,5,-0.633837819,3,-0.441306829,2,-0.575919752,1,-0.238589412,1,-0.4305324,0,-0.750963494,5,4,1,1,1,0,1,0,0,1,0,1,1,1,1,1
60,39,-0.219713306,143000,11.87059991,1,0,-0.680336351,0,0,1,1,0,0,1,1,0,3,-0.587490862,26,2.48099532,3,-0.281048326,0,7,0.079086455,3,-0.441306829,4,0.557694443,3,1.261818231,1,-0.4305324,1,-0.245281141,5,7,1,0,0,0,0,0,0,0,1,0,1,1,1,1
61,35,-0.505408625,93600,11.44678566,0,0,-0.680336351,1,0,0,0,1,0,1,0,1,2,-1.075774825,26.41666667,2.597998306,1.416666667,-0.579311615,0,7,0.079086455,2,-1.020405664,5,1.12450154,3,1.261818231,2,0.166342064,1,-0.245281141,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA